image_path,score,description,task_type,place
dataset/train/0/PXL_20251107_192557855.MP.jpg,0,"The whiteboard was not wiped clean, as extensive blue handwriting remains covering the entire surface.",organize_whiteboard,conference_room
dataset/train/0/PXL_20251107_192557855.MP.jpg,0,"Previous notes and diagrams are still visible, indicating the board was not properly erased after use.",organize_whiteboard,conference_room
dataset/train/0/PXL_20251107_192557855.MP.jpg,0,"Numerous handwritten entries from past sessions have been left uncleaned, making the board unusable for new tasks.",organize_whiteboard,conference_room
dataset/train/0/PXL_20251107_192557855.MP.jpg,0,"The cleaning task for the whiteboard was failed, as all existing information was not removed.",organize_whiteboard,conference_room
dataset/train/0/PXL_20251107_192600830.jpg,0,"The whiteboard was not cleaned, as evidenced by the blue marker writing still visible.",organize_whiteboard,classroom
dataset/train/0/PXL_20251107_192600830.jpg,0,Extensive notes and diagrams in blue ink remain on the whiteboard's surface.,organize_whiteboard,classroom
dataset/train/0/PXL_20251107_192600830.jpg,0,"The task of erasing the whiteboard was failed, leaving old information visible.",organize_whiteboard,classroom
dataset/train/0/PXL_20251107_192600830.jpg,0,Visible blue writing and smudges indicate that the whiteboard was improperly cleaned.,organize_whiteboard,classroom
dataset/train/0/PXL_20251107_212003382.MP.jpg,0,"The whiteboard was not properly cleaned, as significant blue writing remains visible.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212003382.MP.jpg,0,"Previous notes and drawings were not erased, indicating an incomplete cleaning of the whiteboard.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212003382.MP.jpg,0,Multiple lines of handwritten text and symbols are clearly visible across the white surface.,organize_whiteboard,office
dataset/train/0/PXL_20251107_212003382.MP.jpg,0,The cleaning task was failed because the whiteboard still contains extensive un-erased content.,organize_whiteboard,office
dataset/train/0/PXL_20251107_212037468.jpg,0,"Faint writing and lines are still visible on the white surface, indicating the cleaning task was incomplete.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212037468.jpg,0,"The whiteboard shows residual marks and erased outlines from a previous use, suggesting poor quality cleaning.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212037468.jpg,0,"A rectangular box and some checklist items were not fully wiped away, leaving clear evidence of neglected cleaning.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212037468.jpg,0,"Smudges and ghosting from old drawings are present on the vertical panel, demonstrating a failure to clean properly.",organize_whiteboard,office
dataset/train/0/PXL_20251107_212418130.jpg,0,"A piece of paper with handwritten notes remains taped to the wall, indicating incomplete tidying.",check_shelf_area,office
dataset/train/0/PXL_20251107_212418130.jpg,0,"Clutter in the form of a forgotten paper is still affixed to the wall, despite the cleaning task.",check_shelf_area,office
dataset/train/0/PXL_20251107_212418130.jpg,0,"The cleaning crew failed to remove this old document from the wall, leaving it as visible clutter.",check_shelf_area,office
dataset/train/0/PXL_20251107_212418130.jpg,0,"Old handwritten information on a paper is still present on the wall, showing the area was not properly tidied.",check_shelf_area,office
dataset/train/0/PXL_20251107_212515209.jpg,0,"A crumpled piece of paper lies on the floor next to the recycling bins, indicating a failed cleanup.",empty_trash,office
dataset/train/0/PXL_20251107_212515209.jpg,0,"The area around the recycling station was not properly tidied, with an item left on the ground.",empty_trash,office
dataset/train/0/PXL_20251107_212515209.jpg,0,"Waste materials were not fully collected, as a discarded item remains beside the designated bins.",empty_trash,office
dataset/train/0/PXL_20251107_212515209.jpg,0,The cleaning task failed to remove all loose items from the floor near the recycling area.,empty_trash,office
dataset/train/0/PXL_20251107_212524767.jpg,0,"The trash bin still contains refuse, indicating the emptying task was not completed.",empty_trash,office
dataset/train/0/PXL_20251107_212524767.jpg,0,Several used coffee pods and crumpled paper remain at the bottom of the red trash bag.,empty_trash,office
dataset/train/0/PXL_20251107_212524767.jpg,0,"The waste bin was not properly emptied, as visible trash is still present inside.",empty_trash,office
dataset/train/0/PXL_20251107_212524767.jpg,0,"Evidence shows the trash removal task was failed, leaving debris in the receptacle.",empty_trash,office
dataset/train/0/PXL_20251107_212543077.jpg,0,"The bin is completely full of crumpled papers and trash, indicating it was not emptied.",empty_trash,office
dataset/train/0/PXL_20251107_212543077.jpg,0,"Discarded waste fills the bin to the top, showing the cleaning task was unfinished.",empty_trash,office
dataset/train/0/PXL_20251107_212543077.jpg,0,The overflowing contents of the bin clearly demonstrate that the emptying service was missed.,empty_trash,office
